# Minimum fragment length = 4
# Using bin width = 1
# Number of crossovers = 6
# RASPP took 50.31 secs
# RASPP found 800 results
# RASPP found 21 unique (<E>,<m>) points
# RASPP curve took 0.08 secs
# <E>	<m>	crossover points
7.0000	21.5000	304 314 337 373 426 437 
9.0000	24.0000	38 304 323 364 426 447 
9.0000	24.5000	53 304 323 364 426 447 
8.0000	26.0000	38 85 304 314 337 426 
9.5000	26.5000	38 86 304 323 426 447 
13.0000	28.0000	38 94 304 323 426 447 
13.0000	28.5000	38 110 304 323 426 447 
14.0000	30.0000	38 90 124 304 323 426 
14.0000	30.5000	38 90 137 304 323 426 
14.5000	32.0000	38 85 94 124 154 304 
14.5000	33.5000	38 85 94 124 164 304 
15.5000	37.5312	243 284 314 351 426 447 
14.5000	38.8594	231 304 314 337 426 437 
16.0000	39.5156	226 304 314 337 426 437 
16.5000	41.0000	81 231 304 323 426 447 
17.0000	42.4219	53 94 228 304 332 426 
17.0000	42.7500	57 110 228 304 337 426 
17.0000	43.5625	85 137 228 304 351 426 
18.0000	44.8125	90 164 188 228 304 426 
20.0000	45.5625	85 137 188 243 304 426 
23.5000	46.6562	94 188 243 277 314 426 
