# <E>	<m>	crossover points
92.6000	73.0900	21 60 84 121 210 232 245 
87.8650	74.1300	24 65 140 176 199 231 247 
81.8050	57.9050	17 33 59 73 95 115 249 
82.3850	69.9200	21 61 72 94 190 234 254 
82.8000	65.5200	13 103 173 191 210 238 252 
89.2950	67.2800	87 128 177 190 215 235 250 
83.7250	64.2650	11 27 117 183 206 221 247 
73.0250	73.6250	53 78 113 143 164 187 206 
68.9450	62.8900	19 34 51 63 89 123 166 
81.4250	72.5100	42 63 74 169 181 198 218 
81.9050	70.0150	23 44 62 72 169 235 252 
80.6250	69.7400	21 34 51 63 113 214 245 
69.1750	64.5650	21 60 71 88 115 133 166 
87.9600	70.8800	23 84 97 117 194 210 252 
73.1800	69.0800	33 117 135 159 187 214 252 
83.7000	69.5150	11 26 49 60 81 152 199 
83.1950	72.4300	17 74 92 133 161 215 235 
68.6250	49.2600	14 27 175 189 217 236 253 
93.3950	72.6950	30 91 164 199 220 231 245 
82.2350	69.3550	16 44 61 71 90 113 198 
88.3300	60.8550	22 32 54 73 207 227 245 
70.5900	64.9500	11 26 38 161 179 234 254 
75.4500	70.8200	19 30 51 130 166 199 233 
80.9900	69.7050	19 51 79 103 164 238 252 
74.4400	67.3150	15 31 113 147 180 240 253 
83.4300	70.6000	14 31 57 71 169 210 249 
82.6950	67.0250	11 29 112 192 219 233 245 
66.7700	68.9850	11 24 52 67 94 169 186 
75.2750	56.6500	116 161 186 215 227 239 254 
90.2350	73.7300	15 59 71 104 195 231 243 
73.9200	57.9300	14 29 43 81 96 127 253 
68.6150	69.8800	36 121 164 180 228 239 253 
78.5550	66.2350	22 33 47 59 88 127 240 
75.2000	75.8700	54 66 101 135 159 177 226 
70.8550	60.7900	15 27 140 166 183 234 254 
85.7700	69.2750	75 102 129 150 176 188 246 
68.8150	55.8450	26 163 190 206 223 239 253 
79.9000	69.7050	17 29 43 70 163 207 227 
85.1400	73.9900	11 28 44 81 128 159 215 
84.5300	70.9600	38 67 80 129 219 232 247 
66.0150	52.3750	19 34 51 64 75 98 123 
82.3750	69.9200	22 102 130 169 190 207 239 
86.3050	75.2150	33 72 116 140 176 196 230 
72.0600	62.2700	24 49 172 184 203 235 251 
70.0500	57.9850	11 25 35 164 203 234 247 
75.6700	74.4850	25 47 70 116 173 192 245 
77.6750	71.5600	34 50 115 175 215 229 245 
84.0900	68.8250	13 29 44 61 163 203 247 
96.4900	72.3300	15 31 89 183 209 231 244 
77.3400	71.2500	15 31 63 90 113 134 194 
79.2400	69.5650	70 92 112 173 189 209 225 
81.5400	66.9550	71 90 129 149 181 233 252 
86.4400	66.4750	14 51 64 84 194 215 240 
85.6150	72.2900	19 30 50 81 161 178 206 
64.8900	68.1650	16 34 49 67 161 177 195 
77.8550	63.3900	13 25 43 161 177 199 230 
84.8100	67.3850	23 103 125 199 220 231 254 
73.3200	54.6900	23 37 181 217 230 241 254 
81.9000	70.3450	15 80 113 146 164 179 241 
83.0450	72.3250	24 34 72 89 173 221 233 
72.4600	62.7450	16 28 47 68 113 134 246 
84.5200	69.6050	74 103 150 178 210 241 253 
84.5900	67.7550	21 81 99 123 219 239 254 
78.3150	71.8650	21 32 51 68 149 206 239 
80.5700	68.0700	16 33 123 179 195 225 239 
79.4600	71.3050	13 52 110 172 199 236 251 
89.6300	57.2400	11 27 60 191 214 227 254 
72.2200	73.0450	17 44 128 161 188 220 246 
86.9350	68.8450	16 29 54 72 173 230 251 
85.7950	72.4650	28 44 73 91 117 206 246 
67.6650	55.4650	24 37 54 72 88 101 133 
81.2150	69.8200	24 47 59 70 96 175 246 
82.2300	73.1050	24 52 66 91 172 195 225 
81.3300	58.2550	17 30 43 65 88 113 247 
86.6650	72.5150	17 31 57 67 87 170 218 
67.2800	45.6900	140 170 183 210 230 241 253 
82.9150	66.1100	15 30 47 96 218 233 253 
81.4100	70.1600	16 31 73 99 122 166 250 
79.0300	69.1750	37 62 159 199 219 239 251 
72.0700	62.5200	33 140 161 177 194 227 254 
77.0150	68.6750	24 37 130 198 219 238 250 
91.5350	71.6900	31 72 168 184 217 231 246 
71.9500	67.9050	66 117 146 166 179 195 217 
65.1150	71.2800	49 74 90 113 150 172 186 
85.6700	71.9700	13 38 90 150 203 224 234 
86.6900	69.0400	22 67 91 115 210 226 245 
63.3850	61.1050	13 26 39 55 66 115 164 
79.3650	72.3150	28 38 55 147 173 196 223 
86.2100	60.0100	99 148 177 191 214 227 251 
81.5900	66.5000	15 30 117 181 194 225 243 
66.6600	59.6100	11 25 50 62 72 122 149 
94.4550	68.6350	15 79 184 215 228 243 254 
80.4450	68.5900	17 30 113 133 177 194 246 
85.3100	69.4100	73 90 122 188 205 229 249 
76.1950	51.5950	15 27 44 73 89 236 249 
78.3450	56.3700	16 28 161 181 198 225 246 
70.7050	61.1000	23 125 150 180 221 241 254 
73.1150	70.4250	43 65 75 91 116 133 198 
67.2350	60.6400	19 44 59 70 90 130 164 
76.3750	72.8950	26 38 113 161 186 205 236 
77.9700	66.5600	32 44 59 69 84 187 254 
79.5700	68.8550	27 96 113 161 227 241 253 
92.1200	72.3750	15 28 81 110 135 214 235 
85.2150	73.8600	24 35 66 88 113 163 218 
83.1700	64.5850	84 99 117 166 210 226 240 
84.6550	58.5100	21 32 50 64 196 229 252 
81.2900	57.0350	13 25 49 69 210 228 241 
81.0000	71.7750	39 55 72 96 170 231 254 
76.9800	57.0750	110 130 161 188 205 230 244 
82.8100	70.3200	61 129 149 195 219 233 249 
83.8650	74.9700	32 79 113 148 173 228 240 
80.3950	71.0600	65 84 127 149 217 238 251 
67.4850	65.3050	21 42 60 84 112 152 172 
84.7400	65.9550	15 31 89 101 129 152 246 
80.1200	72.7750	22 68 81 103 123 186 253 
65.4650	68.7900	24 37 54 70 104 140 183 
85.8600	71.4650	27 51 64 74 98 133 223 
70.4050	59.4300	11 28 50 66 91 128 150 
88.4900	72.3000	60 101 177 205 227 240 253 
83.8900	75.6500	44 72 92 148 190 214 229 
73.6350	61.2550	26 36 62 88 99 123 159 
64.7850	61.3200	19 51 65 81 98 127 161 
77.0800	65.1150	11 26 37 59 90 150 176 
73.9350	65.5050	11 25 52 67 113 129 233 
67.2400	61.1300	15 34 161 186 229 241 254 
78.4400	74.5750	53 92 110 134 172 220 245 
75.2950	70.1500	11 34 52 68 163 205 243 
88.1050	68.6250	11 31 71 96 196 219 238 
67.6150	54.6600	13 34 173 206 223 239 251 
64.0650	56.8700	21 34 172 196 227 238 253 
83.2800	70.3500	72 97 115 140 186 232 246 
75.4100	72.2450	30 53 102 122 163 238 254 
68.0350	63.4850	11 24 35 55 91 110 169 
72.8450	72.6300	42 84 101 123 166 187 199 
71.7300	67.1000	27 47 67 97 121 135 239 
71.5400	71.2700	21 32 49 122 152 196 250 
84.8250	74.7800	32 68 95 115 140 207 235 
77.6450	71.4000	13 37 115 134 164 207 244 
77.4950	73.2200	54 65 94 134 173 226 252 
88.5100	59.1800	24 44 60 80 218 233 249 
77.5500	61.2200	14 32 47 67 91 223 235 
74.3600	71.1150	14 28 78 113 147 169 187 
81.1750	54.6100	14 26 50 73 226 236 249 
84.7450	74.1800	22 50 65 91 177 210 254 
85.1950	62.3400	23 44 61 71 194 214 247 
77.5200	60.7650	14 123 157 192 210 225 251 
80.7650	60.1250	94 112 134 175 199 229 250 
68.6700	53.2600	11 27 39 57 79 94 128 
72.2450	64.4250	19 34 50 168 192 228 250 
82.5600	68.3000	24 44 61 116 217 229 243 
83.2600	69.4350	15 28 52 65 89 115 217 
85.1500	72.2950	23 37 59 70 87 146 221 
73.4250	72.1450	17 30 67 123 149 187 243 
81.9400	64.3000	24 37 59 104 228 240 254 
78.7400	66.2250	28 122 161 191 207 233 251 
83.4100	72.9250	36 61 75 101 149 189 246 
82.4750	71.8850	31 52 75 92 152 186 207 
69.8100	63.9450	16 49 68 122 230 241 254 
71.4100	66.2200	11 28 42 65 130 238 250 
68.0250	70.2050	17 37 52 69 104 143 196 
83.3600	67.0550	80 97 123 147 190 219 234 
69.5950	58.6950	21 37 168 183 206 223 246 
78.5400	70.8250	15 36 101 123 183 233 245 
86.0200	75.8450	21 54 84 148 177 229 249 
60.0500	65.9650	52 68 92 110 130 157 173 
87.2900	70.1750	75 91 129 161 176 229 251 
80.0900	65.5750	90 121 146 166 180 192 219 
81.0950	63.6500	16 59 70 87 116 236 250 
85.3150	73.2650	52 103 177 196 219 231 243 
81.4900	73.5250	28 52 68 117 190 214 235 
72.8850	65.1500	19 103 128 164 186 207 253 
84.4050	60.6700	13 30 148 179 203 229 245 
78.3500	55.1750	13 26 36 54 66 79 223 
81.4250	65.4850	19 31 44 64 94 221 244 
82.4300	71.1050	15 33 57 135 176 217 239 
77.2650	68.3200	13 36 81 99 121 140 243 
76.7100	72.0400	66 113 135 161 187 209 235 
60.8300	49.6650	11 25 39 58 70 94 121 
81.1200	73.9300	24 36 66 90 121 143 218 
83.1550	66.9550	72 123 152 188 206 228 254 
83.3650	74.2600	11 34 52 65 87 170 234 
64.7000	54.0850	125 150 172 189 205 240 254 
75.4350	69.5000	14 36 54 97 129 175 251 
86.1900	74.2650	22 64 81 152 192 217 244 
82.0950	71.8350	26 38 53 95 173 233 245 
86.2300	67.3750	13 26 57 152 206 231 249 
90.4350	68.9500	19 54 80 97 205 229 249 
83.8200	70.8550	58 69 81 129 210 240 254 
79.9750	54.0950	15 29 39 58 194 210 230 
86.0650	58.1600	23 33 58 72 214 229 254 
83.6000	73.9150	17 49 69 90 133 198 246 
91.6550	66.1700	15 99 181 196 217 231 252 
74.5850	69.0800	11 29 39 62 79 159 192 
88.1350	65.7100	89 127 159 181 215 234 246 
87.1850	71.9850	66 87 104 130 179 206 250 
76.9750	64.1250	24 43 60 78 103 157 254 
84.2800	72.9750	24 57 110 163 187 199 224 
81.7850	72.6700	42 89 122 143 215 231 243 
85.3700	72.1150	22 33 47 91 173 227 247 
79.2700	75.1800	34 54 75 112 168 183 234 
73.3100	64.0700	17 29 42 149 217 228 240 
79.4550	60.0000	11 27 64 190 227 238 254 
91.6850	67.3950	11 73 179 191 210 234 247 
84.2350	66.5900	14 39 66 178 224 235 247 
59.6200	55.7000	23 39 54 69 96 116 134 
69.2200	55.7650	13 25 35 51 96 113 253 
86.4350	72.3000	59 72 149 188 215 238 250 
72.4500	48.2750	14 28 38 58 69 81 103 
75.4550	67.0100	33 127 161 178 194 221 246 
78.7450	65.2800	16 29 128 206 230 241 253 
74.1650	71.6400	15 53 75 95 159 178 194 
74.9050	56.9700	116 133 166 181 194 226 245 
70.6300	55.0250	121 147 172 186 210 227 246 
83.5850	73.6800	33 50 61 101 163 177 209 
67.1400	65.0450	17 30 42 146 225 238 251 
87.0050	66.8700	13 29 67 183 207 236 249 
80.6950	62.3950	19 37 64 75 92 223 244 
76.7050	69.0400	47 104 184 203 219 239 254 
85.8300	69.7350	24 101 125 192 210 227 244 
76.7250	65.8000	23 117 134 194 218 240 253 
74.1050	71.1800	22 32 50 78 115 176 192 
87.5900	73.5450	16 74 127 148 188 220 250 
87.2050	69.6350	74 143 168 190 207 226 246 
71.1600	68.7850	19 32 69 117 150 233 254 
69.8700	52.1900	16 33 55 67 81 97 123 
72.6900	57.5750	15 128 188 209 224 238 251 
71.4000	70.5350	13 25 35 67 125 157 238 
71.2850	50.5500	134 163 180 203 223 240 254 
