# Minimum fragment length = 4
# Using bin width = 1
# Number of crossovers = 7
# RASPP took 62.36 secs
# RASPP found 810 results
# RASPP found 25 unique (<E>,<m>) points
# RASPP curve took 0.27 secs
# <E>	<m>	crossover points
3.5000	18.0000	7 11 18 29 49 457 468 
5.0000	23.0000	7 11 18 29 49 422 438 
7.5000	28.5000	10 27 335 368 418 441 468 
7.5000	29.0000	10 28 335 368 418 441 468 
7.0000	30.5000	9 18 39 335 363 404 457 
6.0000	31.5000	8 16 28 49 335 354 457 
7.0000	32.0000	7 11 18 29 49 314 345 
7.5000	33.5000	7 11 18 29 49 88 335 
7.5000	34.5000	7 11 18 29 49 116 335 
8.5000	35.0000	7 11 18 29 49 116 314 
11.5000	36.5000	10 27 69 125 335 368 457 
11.5000	37.0000	10 27 69 141 335 368 457 
10.0000	41.8438	7 11 18 29 49 274 335 
10.5000	42.7656	9 18 39 274 335 363 457 
10.5000	43.1562	9 18 42 274 335 363 457 
11.5000	44.7344	9 18 42 262 335 363 457 
11.5000	45.0938	9 18 49 262 335 363 457 
13.5000	46.2969	10 27 84 262 335 368 457 
13.5000	47.2031	10 27 116 262 335 368 457 
14.0000	48.1406	12 39 121 259 335 382 457 
14.0000	49.4688	12 39 155 259 335 382 457 
15.0000	50.0000	12 39 121 195 259 335 457 
15.0000	51.0938	17 69 155 219 259 335 457 
16.5000	52.0312	17 125 220 274 310 368 457 
19.5000	53.0312	29 155 219 259 293 345 457
