# Minimum fragment length = 4
# Using bin width = 1
# Number of crossovers = 6
# RASPP took 64.94 secs
# RASPP found 1026 results
# RASPP found 32 unique (<E>,<m>) points
# RASPP curve took 0.20 secs
# <E>	<m>	crossover points
0.0000	16.0000	5 9 16 32 69 491 
1.0000	17.0000	6 11 26 49 468 503 
1.0000	18.0000	5 9 16 32 69 468 
3.5000	19.5000	5 9 16 32 69 462 
4.0000	20.5000	6 11 26 49 448 465 
4.0000	21.5000	6 11 26 69 448 465 
5.0000	22.0000	6 11 26 69 443 462 
6.0000	25.0000	7 16 32 404 443 465 
6.0000	26.5000	8 18 49 404 443 465 
6.0000	27.5000	6 11 26 69 404 443 
6.0000	31.5000	7 16 32 314 468 507 
6.0000	32.5000	6 11 26 42 314 468 
6.0000	33.0000	6 11 26 49 314 468 
6.0000	34.0000	7 16 69 314 468 507 
7.5000	35.0000	6 11 26 69 310 468 
10.5000	36.5000	6 11 26 39 112 310 
12.5000	37.0000	6 11 26 39 112 308 
14.0000	38.0000	5 9 16 32 125 314 
15.0000	39.8750	7 16 32 84 155 314 
15.0000	40.3438	7 16 32 84 168 314 
15.0000	41.8750	7 16 32 84 185 314 
15.0000	42.0000	8 18 42 141 185 314 
18.5000	43.0312	8 18 42 141 185 308 
19.5000	44.1250	12 49 141 195 310 468 
20.0000	45.7188	7 16 32 234 314 468 
20.0000	46.2188	8 18 42 234 314 468 
23.0000	47.6250	16 69 155 219 314 468 
23.0000	48.8125	12 49 141 237 314 468 
23.0000	49.1250	16 69 155 237 314 468 
24.0000	50.1875	17 112 185 247 308 465 
32.5000	51.2500	17 112 205 265 314 465 
35.5000	52.0000	32 155 219 257 314 443 
