# chimera	E	m
11111111	0	0
11111112	33	18
11111113	18	12
11111121	58	27
11111122	59	45
11111123	69	39
11111131	30	23
11111132	56	41
11111133	32	35
11111211	63	50
11111212	86	68
11111213	79	62
11111221	76	77
11111222	67	69
11111223	85	87
11111231	76	73
11111232	92	91
11111233	76	85
11111311	41	44
11111312	74	62
11111313	59	56
11111321	79	71
11111322	80	89
11111323	90	83
11111331	50	67
11111332	76	85
11111333	52	71
11112111	24	11
11112112	57	29
11112113	42	23
11112121	80	38
11112122	81	56
11112123	91	50
11112131	52	34
11112132	78	52
11112133	54	46
11112211	74	61
11112212	97	79
11112213	90	73
11112221	85	76
11112222	76	58
11112223	94	76
11112231	85	84
11112232	101	86
11112233	85	96
11112311	60	55
11112312	93	73
11112313	78	67
11112321	96	82
11112322	97	100
11112323	107	94
11112331	67	78
11112332	93	88
11112333	69	70
11113111	27	13
11113112	60	31
11113113	45	25
11113121	83	40
11113122	84	58
11113123	94	52
11113131	55	36
11113132	81	54
11113133	57	48
11113211	84	63
11113212	107	81
11113213	100	75
11113221	95	88
11113222	86	70
11113223	104	88
11113231	95	86
11113232	111	98
11113233	95	98
11113311	61	57
11113312	94	75
11113313	79	69
11113321	97	84
11113322	98	102
11113323	108	86
11113331	68	70
11113332	94	76
11113333	70	58
11121111	22	18
11121112	55	36
11121113	40	30
11121121	80	45
11121122	81	63
11121123	91	57
11121131	52	41
11121132	78	59
11121133	54	53
11121211	77	68
11121212	100	78
11121213	93	80
11121221	90	69
11121222	81	51
11121223	99	69
11121231	90	91
11121232	106	79
11121233	90	97
11121311	60	62
11121312	93	80
11121313	78	74
11121321	98	89
11121322	99	94
11121323	109	101
11121331	69	85
11121332	95	91
11121333	71	73
11122111	22	29
11122112	55	47
11122113	40	41
11122121	78	56
11122122	79	74
11122123	89	68
11122131	50	52
11122132	76	70
11122133	52	64
11122211	64	79
11122212	87	67
11122213	80	85
11122221	75	58
11122222	66	40
11122223	84	58
11122231	75	86
11122232	91	68
11122233	75	86
11122311	55	73
11122312	88	91
11122313	73	85
11122321	91	100
11122322	92	83
11122323	102	100
11122331	62	84
11122332	88	90
11122333	64	72
11123111	31	31
11123112	64	49
11123113	49	43
11123121	87	58
11123122	88	76
11123123	98	70
11123131	59	54
11123132	85	72
11123133	61	66
11123211	80	81
11123212	103	79
11123213	96	93
11123221	91	70
11123222	82	52
11123223	100	70
11123231	91	98
11123232	107	80
11123233	91	98
11123311	62	75
11123312	95	93
11123313	80	83
11123321	98	100
11123322	99	95
11123323	109	88
11123331	69	72
11123332	95	78
11123333	71	60
11131111	33	19
11131112	66	37
11131113	51	31
11131121	91	46
11131122	92	64
11131123	102	58
11131131	63	42
11131132	89	60
11131133	65	54
11131211	93	69
11131212	116	87
11131213	109	81
11131221	106	90
11131222	97	72
11131223	115	90
11131231	106	92
11131232	122	100
11131233	106	95
11131311	62	63
11131312	95	81
11131313	80	75
11131321	100	90
11131322	101	98
11131323	111	80
11131331	71	64
11131332	97	70
11131333	73	52
11132111	39	30
11132112	72	48
11132113	57	42
11132121	95	57
11132122	96	75
11132123	106	69
11132131	67	53
11132132	93	71
11132133	69	65
11132211	86	80
11132212	109	88
11132213	102	92
11132221	97	79
11132222	88	61
11132223	106	79
11132231	97	103
11132232	113	89
11132233	97	94
11132311	63	74
11132312	96	92
11132313	81	74
11132321	99	91
11132322	100	97
11132323	110	79
11132331	70	63
11132332	96	69
11132333	72	51
11133111	20	32
11133112	53	50
11133113	38	44
11133121	76	59
11133122	77	77
11133123	87	71
11133131	48	55
11133132	74	73
11133133	50	67
11133211	74	82
11133212	97	100
11133213	90	94
11133221	85	91
11133222	76	73
11133223	94	91
11133231	85	94
11133232	101	100
11133233	85	82
11133311	42	74
11133312	75	80
11133313	60	62
11133321	78	79
11133322	79	85
11133323	89	67
11133331	49	51
11133332	75	57
11133333	51	39
11211111	55	23
11211112	88	41
11211113	73	35
11211121	98	50
11211122	99	68
11211123	109	62
11211131	77	46
11211132	103	64
11211133	79	58
11211211	71	73
11211212	94	73
11211213	87	85
11211221	69	64
11211222	60	46
11211223	78	64
11211231	76	92
11211232	92	74
11211233	76	92
11211311	67	67
11211312	100	85
11211313	85	79
11211321	90	94
11211322	91	89
11211323	101	97
11211331	68	81
11211332	94	87
11211333	70	69
11212111	72	34
11212112	105	52
11212113	90	46
11212121	113	61
11212122	114	79
11212123	124	73
11212131	92	57
11212132	118	75
11212133	94	69
11212211	75	80
11212212	98	62
11212213	91	80
11212221	71	53
11212222	62	35
11212223	80	53
11212231	78	81
11212232	94	63
11212233	78	81
11212311	79	78
11212312	112	96
11212313	97	90
11212321	100	96
11212322	101	78
11212323	111	96
11212331	78	80
11212332	104	86
11212333	80	68
11213111	79	36
11213112	112	54
11213113	97	48
11213121	120	63
11213122	121	81
11213123	131	75
11213131	99	59
11213132	125	77
11213133	101	71
11213211	89	86
11213212	112	74
11213213	105	92
11213221	85	65
11213222	76	47
11213223	94	65
11213231	92	93
11213232	108	75
11213233	92	93
11213311	84	80
11213312	117	97
11213313	102	79
11213321	105	96
11213322	106	90
11213323	116	84
11213331	83	68
11213332	109	74
11213333	85	56
11221111	65	41
11221112	98	59
11221113	83	53
11221121	108	68
11221122	109	78
11221123	119	80
11221131	87	64
11221132	113	82
11221133	89	76
11221211	73	73
11221212	96	55
11221213	89	73
11221221	71	46
11221222	62	28
11221223	80	46
11221231	78	74
11221232	94	56
11221233	78	74
11221311	74	85
11221312	107	98
11221313	92	94
11221321	97	89
11221322	98	71
11221323	108	89
11221331	75	83
11221332	101	89
11221333	77	71
11222111	58	52
11222112	91	70
11222113	76	64
11222121	99	79
11222122	100	67
11222123	110	85
11222131	78	75
11222132	104	93
11222133	80	87
11222211	53	62
11222212	76	44
11222213	69	62
11222221	49	35
11222222	40	17
11222223	58	35
11222231	56	63
11222232	72	45
11222233	56	63
11222311	62	96
11222312	95	87
11222313	80	93
11222321	83	78
11222322	84	60
11222323	94	78
11222331	61	82
11222332	87	88
11222333	63	70
11223111	71	54
11223112	104	72
11223113	89	66
11223121	112	81
11223122	113	79
11223123	123	93
11223131	91	77
11223132	117	95
11223133	93	89
11223211	73	74
11223212	96	56
11223213	89	74
11223221	69	47
11223222	60	29
