# Minimum fragment length = 4
# Using bin width = 1
# Number of crossovers = 6
# RASPP took 50.23 secs
# RASPP found 752 results
# RASPP found 17 unique (<E>,<m>) points
# RASPP curve took 0.07 secs
# <E>	<m>	crossover points
9.5000	21.5000	305 324 365 388 405 427 
8.0000	23.5000	19 305 315 338 427 438 
11.5000	25.0000	54 305 338 388 411 438 
10.0000	26.0000	19 82 305 315 338 427 
10.0000	26.5000	19 86 305 315 338 427 
12.5000	27.5000	39 87 284 315 352 427 
13.0000	35.3750	244 280 315 352 427 448 
12.5000	36.8750	19 244 305 315 338 427 
13.5000	38.2500	19 232 305 315 338 427 
14.0000	38.7500	19 229 305 315 338 427 
15.5000	39.7188	58 232 305 324 427 448 
17.0000	41.2500	19 58 155 229 305 338 
16.0000	41.8750	54 95 229 305 338 427 
16.0000	42.7188	54 125 229 305 338 427 
17.0000	44.4688	86 165 189 229 305 427 
17.0000	44.5312	91 165 189 229 305 427 
18.5000	45.5312	95 189 244 280 333 427 
