# Minimum fragment length specified as 4
# Using bin width = 1
# RASPP took 65.24 secs
# RASPP found 1026 results
# RASPP found 32 unique (<E>,<m>) points
# RASPP curve took 0.19 secs
# <E>	<m>	crossover points
2.0000	12.0000	5 9 16 27 39 69 
2.0000	13.5000	5 9 16 27 42 507 
2.0000	14.0000	5 9 16 27 49 507 
4.0000	15.5000	6 11 26 39 84 507 
4.5000	16.5000	5 9 16 27 42 468 
4.5000	17.0000	5 9 16 27 49 468 
5.5000	18.0000	5 9 16 27 39 457 
5.5000	19.0000	6 11 26 49 457 478 
7.0000	22.5000	7 16 32 422 448 468 
7.0000	23.5000	8 18 42 422 448 468 
7.0000	24.0000	5 9 16 27 49 422 
9.5000	29.5000	9 27 335 368 422 457 
8.0000	30.5000	7 16 29 335 363 457 
7.5000	31.5000	5 9 16 27 39 335 
7.5000	32.5000	5 9 16 27 49 335 
8.5000	33.0000	5 9 16 27 49 314 
9.5000	34.0000	5 9 16 27 84 335 
9.5000	35.0000	6 11 26 39 112 335 
10.5000	36.0000	5 9 16 27 116 314 
12.0000	40.1875	5 9 16 27 39 274 
12.0000	41.7188	5 9 16 27 274 335 
12.0000	42.7500	5 9 16 39 274 335 
12.0000	43.0938	6 11 26 42 274 335 
12.5000	44.1562	7 16 49 274 335 363 
12.5000	45.2500	9 49 274 335 368 457 
13.5000	46.4062	9 42 262 335 368 457 
14.0000	47.2188	10 49 259 335 382 457 
16.0000	48.6250	8 18 155 259 335 368 
16.0000	49.2812	12 49 141 259 335 457 
16.0000	50.0625	12 49 168 259 335 457 
17.0000	51.1250	18 116 195 259 335 457 
18.0000	52.0000	27 125 219 274 335 457 
