# <E>	<m>	crossover points
205.7800	66.5550	7 11 62 170 179 189 253 
211.9075	64.3800	17 23 96 188 199 217 252 
207.8025	58.2750	7 15 133 199 236 247 257 
150.9750	64.9400	14 35 52 125 130 147 188 
211.9000	69.6000	7 62 102 117 130 175 249 
185.5275	55.8150	9 17 135 192 210 221 232 
210.8225	75.5100	23 53 110 128 149 209 238 
182.5175	47.7750	9 17 173 190 220 241 258 
197.7175	57.8650	39 50 59 184 206 249 259 
174.1275	64.1250	8 35 90 102 112 152 168 
203.1350	61.1850	94 163 173 184 228 235 244 
163.4775	60.6500	8 17 25 33 170 249 254 
159.5500	40.5200	21 28 33 42 220 238 250 
176.8400	60.3950	95 157 166 239 244 250 258 
176.8025	61.6100	17 73 101 116 127 133 147 
158.8425	63.7900	33 121 168 179 186 191 258 
198.0100	64.9850	38 69 181 188 234 241 260 
185.2200	47.7000	9 26 30 36 53 84 104 
198.8500	65.4800	11 16 24 98 129 176 254 
212.1625	57.0000	62 75 96 240 251 255 260 
170.1125	53.6350	16 22 29 168 186 192 232 
213.1825	69.0700	67 88 92 163 170 207 241 
198.7350	64.3650	68 146 183 217 239 247 252 
164.1750	50.1350	8 28 37 54 60 113 125 
219.7700	53.7850	17 26 52 60 90 95 236 
187.1125	51.9700	68 221 227 234 240 246 259 
213.0550	69.7700	59 149 178 184 209 220 235 
214.5225	66.9600	6 10 66 78 96 173 257 
220.4175	60.4550	81 217 233 241 246 252 256 
224.2650	67.8550	62 67 74 80 96 180 252 
157.9825	24.5100	214 223 229 238 245 251 258 
206.6650	54.7250	7 22 64 71 219 241 253 
189.3550	66.0550	14 19 53 152 199 239 250 
219.3750	69.6450	15 26 30 97 148 176 251 
153.1175	52.2200	128 134 164 189 198 206 217 
167.6800	37.9650	9 15 22 36 47 66 81 
144.3100	49.1500	9 14 21 28 34 43 116 
187.2775	40.8050	5 25 29 206 219 225 252 
213.2575	65.7900	71 170 214 223 251 255 260 
211.0800	69.3800	32 95 164 172 183 203 223 
193.7450	53.1800	17 28 35 39 97 245 260 
198.5925	63.2700	30 147 152 190 198 220 235 
200.5000	59.7600	25 29 50 55 179 210 219 
246.1425	68.9400	75 110 129 198 217 226 250 
210.5675	68.6150	68 73 79 112 159 229 239 
193.4425	60.2650	5 90 96 101 134 166 257 
202.5500	64.0150	52 57 170 205 214 226 243 
207.7000	70.4500	27 37 54 60 73 161 190 
188.0300	66.8550	21 27 39 65 88 97 189 
225.8975	58.3600	22 35 58 78 217 224 238 
173.1700	45.5350	66 70 239 245 250 254 259 
198.8350	71.8900	37 50 66 149 187 230 256 
197.6175	68.0550	60 96 110 117 169 175 246 
178.9825	66.9550	50 103 125 130 177 254 259 
189.3250	43.7050	9 17 24 29 89 255 260 
177.1375	62.7350	36 51 166 184 203 217 224 
166.9425	59.3650	21 34 163 218 240 247 253 
189.5750	49.2150	8 14 30 65 79 95 117 
222.2775	63.3450	8 58 79 88 205 255 260 
218.8100	68.7250	23 62 149 209 247 255 259 
173.3050	39.0550	30 39 50 62 70 74 87 
159.6450	38.0850	6 16 47 53 68 255 259 
156.7925	61.5500	29 42 49 128 150 254 260 
235.3450	67.4300	80 135 176 180 190 206 234 
183.6900	53.2200	25 29 36 80 88 98 123 
191.3925	61.9900	27 37 49 58 115 125 252 
156.1425	37.2250	7 187 191 205 210 255 259 
161.5225	29.1000	24 228 232 243 249 254 260 
184.2400	53.0600	6 11 32 43 90 103 127 
210.3500	68.5400	9 14 30 63 79 161 183 
218.0450	63.6550	6 10 28 58 70 88 199 
183.2725	43.7650	8 31 37 57 62 70 95 
167.9350	64.4300	14 19 34 134 163 169 221 
204.3150	59.5050	32 39 52 66 198 243 257 
189.9500	58.9650	104 117 157 177 241 251 257 
152.6600	59.3200	9 16 30 34 39 170 196 
206.1725	61.4300	79 88 101 219 238 245 253 
247.6975	66.5300	6 81 97 133 206 247 253 
174.7900	60.5500	14 22 27 150 176 254 258 
174.6825	61.0450	8 13 21 55 121 249 255 
177.6250	59.3800	6 71 79 91 112 143 149 
205.7375	64.8700	68 74 94 99 121 129 224 
163.4600	35.6450	6 15 21 207 223 235 256 
209.1475	65.1750	75 84 191 196 207 220 235 
228.3125	70.1800	27 37 73 94 98 183 235 
223.3825	72.3650	22 29 36 71 99 176 221 
207.4175	67.5600	7 13 35 61 163 181 217 
168.2550	45.3250	13 23 34 195 246 253 257 
178.9825	55.4300	33 63 72 89 95 122 130 
178.4150	60.3150	89 121 129 135 150 255 260 
229.9250	69.5900	7 13 78 99 122 176 236 
180.0475	56.4400	7 11 28 43 75 121 150 
210.2000	65.1600	9 60 65 70 74 117 215 
160.3200	34.4550	186 199 210 219 224 228 236 
180.7550	62.6750	7 14 19 28 49 72 172 
218.5850	70.0550	19 49 73 80 184 235 259 
177.9675	65.3150	74 101 130 140 149 177 191 
193.1150	70.7900	51 113 133 152 177 223 253 
239.8300	67.8750	27 90 98 129 147 199 252 
178.0400	48.6350	143 166 183 191 221 244 250 
# Finished in 3.30 seconds (100 libraries, 20000 chimeras)
